"","ric","date","time","midquote","datetime_GMT","datetime_CET","time_CET"
"184","EUREON2Y=",2013-07-04,"11:03:00",0.259,2013-07-04 11:03:00,2013-07-04 13:03:00,"13:03:00"
"185","EUREON2Y=",2013-07-04,"11:04:00",0.2605,2013-07-04 11:04:00,2013-07-04 13:04:00,"13:04:00"
"186","EUREON2Y=",2013-07-04,"11:05:00",0.259,2013-07-04 11:05:00,2013-07-04 13:05:00,"13:05:00"
"187","EUREON2Y=",2013-07-04,"11:06:00",0.2635,2013-07-04 11:06:00,2013-07-04 13:06:00,"13:06:00"
"188","EUREON2Y=",2013-07-04,"11:07:00",0.262,2013-07-04 11:07:00,2013-07-04 13:07:00,"13:07:00"
"189","EUREON2Y=",2013-07-04,"11:08:00",0.26,2013-07-04 11:08:00,2013-07-04 13:08:00,"13:08:00"
"190","EUREON2Y=",2013-07-04,"11:09:00",0.259,2013-07-04 11:09:00,2013-07-04 13:09:00,"13:09:00"
"191","EUREON2Y=",2013-07-04,"11:10:00",0.258,2013-07-04 11:10:00,2013-07-04 13:10:00,"13:10:00"
"192","EUREON2Y=",2013-07-04,"11:11:00",0.258,2013-07-04 11:11:00,2013-07-04 13:11:00,"13:11:00"
"193","EUREON2Y=",2013-07-04,"11:12:00",0.257,2013-07-04 11:12:00,2013-07-04 13:12:00,"13:12:00"
"194","EUREON2Y=",2013-07-04,"11:13:00",0.255,2013-07-04 11:13:00,2013-07-04 13:13:00,"13:13:00"
"195","EUREON2Y=",2013-07-04,"11:14:00",0.253,2013-07-04 11:14:00,2013-07-04 13:14:00,"13:14:00"
"196","EUREON2Y=",2013-07-04,"11:15:00",0.255,2013-07-04 11:15:00,2013-07-04 13:15:00,"13:15:00"
"197","EUREON2Y=",2013-07-04,"11:16:00",0.249,2013-07-04 11:16:00,2013-07-04 13:16:00,"13:16:00"
"198","EUREON2Y=",2013-07-04,"11:17:00",0.248,2013-07-04 11:17:00,2013-07-04 13:17:00,"13:17:00"
"199","EUREON2Y=",2013-07-04,"11:18:00",0.2495,2013-07-04 11:18:00,2013-07-04 13:18:00,"13:18:00"
"200","EUREON2Y=",2013-07-04,"11:19:00",0.25,2013-07-04 11:19:00,2013-07-04 13:19:00,"13:19:00"
"201","EUREON2Y=",2013-07-04,"11:20:00",0.254,2013-07-04 11:20:00,2013-07-04 13:20:00,"13:20:00"
"202","EUREON2Y=",2013-07-04,"11:21:00",0.2485,2013-07-04 11:21:00,2013-07-04 13:21:00,"13:21:00"
"203","EUREON2Y=",2013-07-04,"11:22:00",0.247,2013-07-04 11:22:00,2013-07-04 13:22:00,"13:22:00"
"204","EUREON2Y=",2013-07-04,"11:23:00",0.247,2013-07-04 11:23:00,2013-07-04 13:23:00,"13:23:00"
"205","EUREON2Y=",2013-07-04,"11:24:00",0.247,2013-07-04 11:24:00,2013-07-04 13:24:00,"13:24:00"
"206","EUREON2Y=",2013-07-04,"11:25:00",0.25,2013-07-04 11:25:00,2013-07-04 13:25:00,"13:25:00"
"207","EUREON2Y=",2013-07-04,"11:26:00",0.247,2013-07-04 11:26:00,2013-07-04 13:26:00,"13:26:00"
"208","EUREON2Y=",2013-07-04,"11:27:00",0.248,2013-07-04 11:27:00,2013-07-04 13:27:00,"13:27:00"
"209","EUREON2Y=",2013-07-04,"11:28:00",0.25,2013-07-04 11:28:00,2013-07-04 13:28:00,"13:28:00"
"210","EUREON2Y=",2013-07-04,"11:29:00",0.246,2013-07-04 11:29:00,2013-07-04 13:29:00,"13:29:00"
"211","EUREON2Y=",2013-07-04,"11:30:00",0.243,2013-07-04 11:30:00,2013-07-04 13:30:00,"13:30:00"
"212","EUREON2Y=",2013-07-04,"11:31:00",0.2485,2013-07-04 11:31:00,2013-07-04 13:31:00,"13:31:00"
"213","EUREON2Y=",2013-07-04,"11:32:00",0.247,2013-07-04 11:32:00,2013-07-04 13:32:00,"13:32:00"
"214","EUREON2Y=",2013-07-04,"11:33:00",0.25,2013-07-04 11:33:00,2013-07-04 13:33:00,"13:33:00"
"215","EUREON2Y=",2013-07-04,"11:34:00",0.251,2013-07-04 11:34:00,2013-07-04 13:34:00,"13:34:00"
